tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
613,TXN.US Equity,Texas Instruments Incorporated,1970-01-01,null,453010,Semiconductors & Semiconductor Equipment
614,TXU.US Equity,TXU Corp.,1970-01-01,2007-10-08,551050,Independent Power Producers & Energy Traders
615,UA.US Equity,Under Armour Inc Class C,2016-04-14,null,252030,"Textiles, Apparel & Luxury Goods"
616,UAA.US Equity,Under Armour Class A,2014-04-30,null,252030,"Textiles, Apparel & Luxury Goods"
617,UAL.US Equity,United Continental Holdings Inc,2015-09-02,null,203020,Airlines
618,UDR.US Equity,UDR Inc,2016-03-04,null,601010,Equity Real Estate Investment Trusts (REITs)
619,UHS.US Equity,Universal Health Services Inc,2014-09-19,null,351020,Health Care Providers & Services
620,UIS.US Equity,Unisys Corp.,1970-01-01,2008-11-09,451020,IT Services
621,ULTA.US Equity,Ulta Salon Cosmetics & Fragrance Inc,2016-04-15,null,255040,Specialty Retail
622,UNH.US Equity,UnitedHealth Group Inc,1994-06-30,null,351020,Health Care Providers & Services
623,UNM.US Equity,Unum Group,1994-03-10,null,403010,Insurance
624,UNP.US Equity,Union Pacific Corporation,1970-01-01,null,203040,Road & Rail
625,UPS.US Equity,United Parcel Service Inc,2002-07-19,null,203010,Air Freight & Logistics
626,URBN.US Equity,Urban Outfitters Inc,2010-02-05,2017-03-18,255040,Specialty Retail
627,URI.US Equity,United Rentals Inc,2014-09-19,null,201070,Trading Companies & Distributors
628,USB.US Equity,U.S. Bancorp,1998-12-31,null,401010,Commercial Banks
629,UTX.US Equity,United Technologies Corporation,1970-01-01,null,201010,Aerospace & Defense
630,UVN.US Equity,Univision Comm Inc,2001-02-06,2007-03-27,254010,Media
631,V.US Equity,Visa Inc.,2009-12-18,null,451020,IT Services
632,VAL.US Equity,Ensco plc,1970-01-01,2009-12-21,101010,Energy Equipment & Services
633,VAL.US Equity,Ensco plc,2012-07-30,2016-03-28,101010,Energy Equipment & Services
634,VAL.US Equity,Valaris plc,2007-01-03,null,101010,Energy Equipment & Services
635,VFC.US Equity,VF Corp,1979-05-03,null,252030,"Textiles, Apparel & Luxury Goods"
636,VIAB.US Equity,Viacom Inc.,2005-12-30,2019-12-03,502020,Entertainment
637,VIAC.US Equity,ViacomCBS Inc,1994-09-29,null,502010,Media
638,VIAV.US Equity,VIAVI Solutions Inc,2000-07-26,2013-12-19,452010,Communications Equipment
639,VLO.US Equity,Valero Energy Corp,2004-04-28,null,101020,"Oil, Gas & Consumable Fuels"
640,VMC.US Equity,Vulcan Materials Co,1999-06-30,null,151020,Construction Materials
641,VNO.US Equity,Vornado Realty Trust,2005-08-11,null,601010,Equity Real Estate Investment Trusts (REITs)
642,VRSK.US Equity,Verisk Analytics Inc,2015-10-07,null,202020,Professional Services
643,VRSN.US Equity,Verisign Inc.,2006-01-31,null,451020,IT Services
644,VRTX.US Equity,Vertex Pharmaceuticals Inc.,2013-09-20,null,352010,Biotechnology
645,VTR.US Equity,Ventas Inc.,2009-03-03,null,601010,Equity Real Estate Investment Trusts (REITs)
646,VZ.US Equity,Verizon Communications Inc,1983-12-01,null,501010,Diversified Telecommunication Services
647,WAT.US Equity,Waters Corp.,2001-12-31,null,351020,Health Care Providers & Services
648,WBA.US Equity,Walgreens Boots Alliance Inc,1979-10-11,null,301010,Food & Staples Retailing
649,WDC.US Equity,Western Digital Corp,2009-06-30,null,452020,Computers & Peripherals
650,WEC.US Equity,WEC Energy Group Inc,2008-10-30,null,551010,Electric Utilities
651,WELL.US Equity,Welltower Inc,2009-01-29,null,601010,Equity Real Estate Investment Trusts (REITs)
652,WEN.US Equity,Wendy's International,1982-03-04,2008-09-28,253010,"Hotels, Restaurants & Leisure"
653,WFC.US Equity,Wells Fargo & Co,1976-07-01,null,401010,Commercial Banks
654,WFM.US Equity,Whole Foods Market Inc,2005-12-30,2017-08-27,301010,Food & Staples Retailing
655,WHR.US Equity,Whirlpool Corporation,1970-01-01,null,252010,Household Durables
656,WIN.US Equity,Windstream Holdings Inc,2006-07-17,2015-04-05,501010,Diversified Telecommunication Services
657,WLTW.US Equity,Willis Towers Watson,2016-01-04,null,403010,Insurance
658,WM.US Equity,Waste Management Inc.,1998-07-16,null,202010,Commercial Services & Supplies
659,WMB.US Equity,Williams Companies Inc,1975-02-06,null,101020,"Oil, Gas & Consumable Fuels"
660,WMT.US Equity,Wal-Mart Stores Inc,1982-08-19,null,301010,Food & Staples Retailing
661,WPX.US Equity,WPX Energy Inc,2011-12-30,2014-03-20,101020,"Oil, Gas & Consumable Fuels"
662,WRK.US Equity,WestRock Company,1970-01-01,null,151030,Containers & Packaging
663,WU.US Equity,Western Union Co.,2006-09-29,null,451020,IT Services
664,WWY.US Equity,Wrigley Co.,1970-01-01,2008-10-02,302020,Food Products
665,WY.US Equity,Weyerhaeuser Company,1970-01-01,null,601010,Equity Real Estate Investment Trusts (REITs)
666,WYE.US Equity,Wyeth Corp.,1970-01-01,2009-10-14,352020,Pharmaceuticals
667,WYND.US Equity,Wyndham Destinations Inc,2006-07-31,2018-05-29,253010,"Hotels, Restaurants & Leisure"
668,WYNN.US Equity,Wynn Resorts Ltd,2008-11-13,null,253010,"Hotels, Restaurants & Leisure"
669,X.US Equity,United States Steel Corp,1991-05-06,2014-06-30,151040,Metals & Mining
670,XEC.US Equity,Cimarex Energy Co,2014-06-20,2020-03-01,101020,"Oil, Gas & Consumable Fuels"
671,XEL.US Equity,Xcel Energy Inc,1970-01-01,null,551030,Multi-Utilities
672,XL.US Equity,XL Group Ltd,2001-08-31,2018-09-12,403010,Insurance
673,XLNX.US Equity,Xilinx Inc.,1999-11-05,null,453010,Semiconductors & Semiconductor Equipment
674,XOM.US Equity,Exxon Mobil Corporation,1970-01-01,null,101020,"Oil, Gas & Consumable Fuels"
675,XRAY.US Equity,Dentsply Sirona Inc,2008-11-13,null,351010,Health Care Equipment & Supplies
676,XRX.US Equity,Xerox Holdings Corporation,1970-01-01,null,452020,Computers & Peripherals
677,XTO.US Equity,XTO Energy Inc.,2004-12-28,2010-06-25,101020,"Oil, Gas & Consumable Fuels"
678,XYL.US Equity,Xylem Inc.,2011-10-31,null,201060,Machinery
679,YHOO.US Equity,Yahoo! Inc,1999-12-07,2017-06-16,451010,Internet Software & Services
680,YUM.US Equity,Yum! Brands Inc.,1997-10-06,null,253010,"Hotels, Restaurants & Leisure"
681,ZBH.US Equity,Zimmer Biomet Holdings Inc,2001-08-06,null,351010,Health Care Equipment & Supplies
682,ZION.US Equity,Zions Bancorp,2001-06-22,null,401010,Commercial Banks
683,ZTS.US Equity,Zoetis Inc,2013-06-21,null,352020,Pharmaceuticals
