tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
176,DAL.US Equity,Delta Air Lines Inc,2013-09-10,null,203020,Airlines
177,DD.US Equity,"DuPont de Nemours, Inc",1970-01-01,null,151010,Chemicals
178,DDS.US Equity,Dillard's Inc.,1986-10-02,2008-10-20,255030,Multiline Retail
179,DE.US Equity,Deere & Company,1970-01-01,null,201060,Machinery
180,DFS.US Equity,Discover Financial Services,2007-06-29,null,402020,Consumer Finance
181,DG.US Equity,Dollar General Corp,2012-11-30,null,255030,Multiline Retail
182,DGX.US Equity,Quest Diagnostics Inc,2002-12-11,null,351020,Health Care Providers & Services
183,DHI.US Equity,D.R. Horton Inc,2005-07-01,null,252010,Household Durables
184,DHR.US Equity,Danaher Corp.,1998-11-17,null,351010,Health Care Equipment & Supplies
185,DIS.US Equity,Walt Disney Co,1976-07-01,null,502020,Entertainment
186,DISCA.US Equity,Discovery Communications Inc Class A,2010-02-26,null,502010,Media
187,DISCK.US Equity,Discovery Com Class C,2014-08-06,null,502010,Media
188,DJ.US Equity,Dow Jones & Co. Inc.,1978-05-04,2007-12-12,254010,Media
189,DLR.US Equity,Digital Realty Trust,2016-05-17,null,601010,Equity Real Estate Investment Trusts (REITs)
190,DLTR.US Equity,Dollar Tree Inc,2011-12-16,null,255030,Multiline Retail
191,DNB.US Equity,Dun & Bradstreet Corp,2008-12-01,2017-04-03,202020,Professional Services
192,DNR.US Equity,Denbury Resources Inc.,2009-04-01,2015-03-19,101020,"Oil, Gas & Consumable Fuels"
193,DO.US Equity,Diamond Offshore Drilling Inc,2009-02-25,2016-09-29,101010,Energy Equipment & Services
194,DOV.US Equity,Dover Corp.,1985-10-24,null,201060,Machinery
195,DRI.US Equity,Darden Restaurants Inc,1995-05-26,null,253010,"Hotels, Restaurants & Leisure"
196,DTE.US Equity,DTE Energy Company,1970-01-01,null,551030,Multi-Utilities
197,DUK.US Equity,Duke Energy Corp,1976-07-01,null,551010,Electric Utilities
198,DVA.US Equity,DaVita Inc.,2008-07-30,null,351020,Health Care Providers & Services
199,DVN.US Equity,Devon Energy Corp.,2000-08-29,null,101020,"Oil, Gas & Consumable Fuels"
200,EA.US Equity,Electronic Arts Inc,2002-07-19,null,502020,Entertainment
201,EBAY.US Equity,eBay Inc.,2002-07-19,null,255020,Internet & Catalog Retail
202,ECL.US Equity,Ecolab Inc.,1989-01-12,null,151010,Chemicals
203,ED.US Equity,"Consolidated Edison, Inc",1970-01-01,null,551010,Electric Utilities
204,EFX.US Equity,Equifax Inc.,1997-06-18,null,202020,Professional Services
205,EIX.US Equity,Edison International,1970-01-01,null,551010,Electric Utilities
206,EL.US Equity,Estee Lauder Companies Inc,2006-01-04,null,303020,Personal Products
207,EMC.US Equity,EMC Corp.,1996-03-27,2016-09-06,452020,Computers & Peripherals
208,EMN.US Equity,Eastman Chemical Co,1994-01-03,null,151010,Chemicals
209,EMR.US Equity,Emerson Electric Co,1970-01-01,null,201040,Electrical Equipment
210,ENDP.US Equity,Endo Int'l plc,2015-01-26,2017-02-28,352020,Pharmaceuticals
211,EOG.US Equity,EOG Resources Inc,2000-11-01,null,101020,"Oil, Gas & Consumable Fuels"
212,EOP.US Equity,Equity Office Properties Trust,2001-10-09,2007-02-08,601010,Equity Real Estate Investment Trusts (REITs)
213,EP.US Equity,El Paso Corp.,1999-10-25,2012-05-23,101020,"Oil, Gas & Consumable Fuels"
214,EQIX.US Equity,Equinix Inc,2015-03-20,null,601010,Equity Real Estate Investment Trusts (REITs)
215,EQR.US Equity,Equity Residential,2001-11-30,null,601010,Equity Real Estate Investment Trusts (REITs)
216,EQT.US Equity,EQT Corp,2008-12-18,2018-11-11,101020,"Oil, Gas & Consumable Fuels"
217,ES.US Equity,Eversource Energy,2009-03-16,null,551030,Multi-Utilities
218,ESRX.US Equity,Express Scripts Holding Co,2003-09-25,2018-12-20,351020,Health Care Providers & Services
219,ESS.US Equity,Essex Property Trust,2014-04-01,null,601010,Equity Real Estate Investment Trusts (REITs)
220,ESV.US Equity,Valaris plc,2012-09-05,2016-03-30,101010,Energy Equipment & Services
221,ETFC.US Equity,E*Trade Financial Corp.,2004-03-31,null,402030,Capital Markets
222,ETN.US Equity,Eaton Corporation plc,1970-01-01,null,201040,Electrical Equipment
223,ETR.US Equity,Entergy Corporation,1970-01-01,null,551010,Electric Utilities
224,EVHC.US Equity,Envision Healthcare Holdings Inc,2016-12-01,2018-10-09,351020,Health Care Providers & Services
225,EW.US Equity,Edwards Lifesciences Corp,2011-03-31,null,351010,Health Care Equipment & Supplies
226,EXC.US Equity,Exelon Corporation,1970-01-01,null,551030,Multi-Utilities
227,EXPD.US Equity,Expeditors Int'l of Washington Inc,2007-10-09,null,203010,Air Freight & Logistics
228,EXPE.US Equity,Expedia Inc.,2007-10-01,null,255020,Internet & Catalog Retail
229,EXR.US Equity,Extra Space Storage Inc,2016-01-15,null,601010,Equity Real Estate Investment Trusts (REITs)
230,F.US Equity,Ford Motor Company,1970-01-01,null,251020,Automobiles
231,FAST.US Equity,Fastenal Co.,2008-09-12,null,201020,Building Products
232,FB.US Equity,Facebook Inc.,2013-12-20,null,502030,Interactive Media & Services
233,FBHS.US Equity,Fortune Brands Home & Security Inc,2016-06-23,null,201020,Building Products
234,FCX.US Equity,Freeport-McMoRan Inc.,1995-07-28,null,151040,Metals & Mining
235,FDO.US Equity,Family Dollar Stores Inc,2001-08-03,2015-07-06,255030,Multiline Retail
236,FDX.US Equity,FedEx Corp,1980-11-06,null,203010,Air Freight & Logistics
237,FE.US Equity,FirstEnergy Corp,1970-01-01,null,551010,Electric Utilities
238,FFIV.US Equity,F5 Networks Inc,2010-12-17,null,452010,Communications Equipment
239,FHI.US Equity,Federated Hermes Inc,2003-04-15,2012-12-31,402030,Capital Markets
240,FHN.US Equity,First Horizon National Corp,2002-05-03,2013-06-20,401010,Commercial Banks
241,FIS.US Equity,Fidelity National Information Services Inc,2006-11-09,null,451020,IT Services
242,FISV.US Equity,Fiserv Inc,2001-03-30,null,451020,IT Services
243,FITB.US Equity,Fifth Third Bancorp,1996-03-07,null,401010,Commercial Banks
244,FL.US Equity,Foot Locker Inc.,2016-04-01,2019-08-07,255040,Specialty Retail
245,FLIR.US Equity,FLIR Systems Inc,2008-12-31,null,452030,"Electronic Equipment, Instruments & Components"
246,FLR.US Equity,Fluor Corp.,2000-12-21,2019-05-30,201030,Construction & Engineering
