date,CDXTIL15,CDXTHL15,AMCIsUSD Index,SPX Index,SPTR Index,CCMP Index,INDU Index,SX5E Index,NKY Index,VIX Index,USGG2YR Index,USGG10YR Index,GC1 Comdty,CO1 Comdty,CU1 Comdty,DXY Curncy
2007-01-26,,,1.09745,1422.18,2193.888,2435.49,12487.02,4149.01,17421.93,11.13,4.9663,4.8733,644.7,55.29,53950.0,85.23
2007-01-29,,,1.076148,1420.62,2191.713,2441.09,12490.78,4166.83,17470.46,11.45,4.9747,4.8897,643.2,53.68,54070.0,85.09
2007-01-30,,,1.0975604,1428.82,2204.396,2448.64,12523.31,4195.22,17490.19,10.96,4.958,4.8693,644.2,56.39,52100.0,84.99
2007-01-31,,,1.1318035,1438.24,2219.189,2463.93,12621.69,4178.54,17383.42,10.42,4.9165,4.808,652.0,57.4,52530.0,84.6
2007-02-01,,,1.145894,1445.94,2231.606,2468.38,12673.68,4211.32,17519.5,10.31,4.9581,4.8346,663.0,56.72,53180.0,84.64
2007-02-02,,,1.1616563,1448.39,2235.392,2475.88,12653.49,4228.39,17547.11,10.08,4.9331,4.8204,651.5,58.41,52100.0,84.96
2007-02-05,,,1.1389889,1446.99,2233.444,2470.6,12661.74,4227.47,17344.8,10.55,4.9163,4.8021,656.1,58.1,50080.0,85.08
2007-02-06,,,1.127256,1448.0,2235.016,2471.49,12666.31,4233.47,17406.86,10.65,4.8912,4.7655,658.7,58.42,50000.0,84.77
2007-02-07,,,1.1525495,1450.02,2239.052,2490.5,12666.87,4251.06,17292.32,10.32,4.866,4.7432,657.3,57.23,51010.0,84.71
2007-02-08,,,1.1516429,1448.31,2236.46,2488.67,12637.63,4225.92,17292.48,10.44,4.8743,4.7319,662.8,59.03,50290.0,84.69
2007-02-09,,,1.1136911,1438.06,2220.721,2459.82,12580.83,4248.24,17504.33,11.1,4.8993,4.7797,672.3,59.01,51080.0,84.88
2007-02-12,,,1.0755243,1433.37,2213.584,2450.38,12552.55,4213.85,,11.61,4.9246,4.8037,667.3,56.6,52370.0,85.12
2007-02-13,,,1.1311426,1444.26,2230.799,2459.88,12654.85,4239.03,17621.45,10.34,4.933,4.8078,668.5,57.03,52060.0,84.69
2007-02-14,,,1.1530172,1455.3,2248.404,2488.38,12741.86,4267.02,17752.64,10.23,4.8653,4.7359,672.0,57.43,54140.0,84.18
2007-02-15,,,1.1613301,1456.81,2250.969,2497.1,12765.01,4258.13,17897.23,10.22,4.8314,4.7061,671.4,57.6,54860.0,84.05
2007-02-16,,,1.1739414,1455.54,2249.064,2496.31,12767.57,4247.4,17875.65,10.02,4.8224,4.6882,672.8,58.95,55500.0,84.06
2007-02-19,,,,,,,,4266.23,17940.09,,4.8222,4.6882,,58.14,,84.02
2007-02-20,,,1.1642286,1459.68,2255.478,2513.04,12786.64,4250.3,17939.12,10.24,4.8136,4.6743,661.0,57.98,,84.18
2007-02-21,,,1.1687807,1457.63,2252.434,2518.42,12738.41,4232.52,17913.21,10.2,4.8392,4.6902,684.0,59.35,,84.22
2007-02-22,,,1.1743928,1456.38,2251.03,2524.94,12686.02,4241.48,18108.79,10.18,4.8578,4.7279,683.0,60.62,,84.34
2007-02-23,,,1.1578543,1451.19,2243.261,2515.1,12647.48,4245.99,18188.42,10.58,4.7997,4.6703,686.7,60.88,,84.05
2007-02-26,,,1.1202676,1449.37,2240.728,2504.52,12632.26,4272.32,18215.35,11.15,4.7583,4.6248,689.8,61.33,57720.0,83.93
2007-02-27,,,0.7050505,1399.04,2163.114,2407.86,12216.24,4156.73,18119.92,18.31,4.5847,4.5109,687.2,61.36,58710.0,83.46
